model,v16,v15,diff
inception_v3_299_quant_edgetpu.tflite,44.19190940243425,44.217702899186406,-0.025793496752157807
efficientdet_lite2_448_ptq_edgetpu.tflite,103.85605319897877,105.56963550043292,-1.713582301454153
keras_post_training_unet_mv2_256_quant_edgetpu.tflite,41.81639220332727,32.74597669951618,9.070415503811091
mobilenet_v2_1.0_224_inat_bird_quant_edgetpu.tflite,3.8703919999534264,3.515047398104798,0.35534460184862837
mobilenet_v1_1.0_224_quant_edgetpu.tflite,3.7961686015478335,3.3832761997473426,0.4128924018004909
efficientdet_lite1_384_ptq_edgetpu.tflite,60.527949799143244,58.37974039895926,2.148209400183987
efficientnet-edgetpu-S_quant_edgetpu.tflite,7.7394045976689085,7.046620603068732,0.6927839946001768
ssd_mobilenet_v1_coco_quant_postprocess_edgetpu.tflite,9.130525196087547,11.481972398178186,-2.3514472020906396
inception_v4_299_quant_edgetpu.tflite,86.49069309904007,86.43694290367421,0.053750195365864784
mobilenet_v1_0.75_192_quant_edgetpu.tflite,2.505555901734624,2.480951299367007,0.02460460236761719
tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,43.93905059841927,44.754407899745274,-0.8153573013260029
inception_v1_224_quant_edgetpu.tflite,5.060053200577386,5.209544298122637,-0.14949109754525125
mobilenet_v1_1.0_224_quant_embedding_extractor_edgetpu.tflite,3.366911101329606,3.332510001200717,0.034401100128889084
efficientnet-edgetpu-M_quant_embedding_extractor_edgetpu.tflite,8.74576460046228,8.720621299289633,0.025143301172647625
mobilenet_v1_0.25_128_quant_edgetpu.tflite,1.1208030991838314,1.0599880013614893,0.06081509782234207
tf2_ssd_mobilenet_v2_coco17_ptq_edgetpu.tflite,9.829970798455179,12.109581599361263,-2.2796108009060845
deeplabv3_mnv2_dm05_pascal_quant_edgetpu.tflite,42.28907910146518,40.443183001480065,1.8458960999851115
tf2_ssd_mobilenet_v1_fpn_640x640_coco17_ptq_edgetpu.tflite,265.63904940121574,295.73935799562605,-30.100308594410308
ssd_mobilenet_v2_face_quant_postprocess_edgetpu.tflite,7.227490101649892,7.110423705307767,0.11706639634212479
efficientdet_lite0_320_ptq_edgetpu.tflite,38.912300001538824,39.23743339983048,-0.3251333982916549
tf2_mobilenet_v3_edgetpu_1.0_224_ptq_edgetpu.tflite,4.177737102145329,4.252850997727364,-0.07511389558203518
mobilenet_v2_1.0_224_quant_edgetpu.tflite,4.213801700097974,3.8232121980399825,0.3905895020579919
mobilenet_v1_0.5_160_quant_edgetpu.tflite,1.8964430011692457,1.6820125034428202,0.21443049772642553
mobilenet_v1_1.0_224_l2norm_quant_edgetpu.tflite,3.9235499949427326,4.106763198797125,-0.18321320385439277
efficientnet-edgetpu-S_quant_embedding_extractor_edgetpu.tflite,6.604354400769807,5.889722397841979,0.7146320029278286
ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite,12.99790380144259,13.221128500299528,-0.22322469885693863
deeplab_mobilenet_edgetpu_slim_cityscapes_quant_edgetpu.tflite,80.65827749669552,41.34265979955671,39.315617697138805
mobilenet_v2_1.0_224_inat_insect_quant_edgetpu.tflite,4.090566599916201,3.8921432016650215,0.1984233982511796
tf2_mobilenet_v1_1.0_224_ptq_edgetpu.tflite,3.9690581004833803,3.790470800595358,0.17858729988802224
deeplabv3_mnv2_pascal_quant_edgetpu.tflite,48.97870820132084,44.1170930993394,4.861615101981442
efficientnet-edgetpu-M_quant_edgetpu.tflite,10.074295898084529,11.229693700443022,-1.1553978023584932
efficientnet-edgetpu-L_quant_embedding_extractor_edgetpu.tflite,20.84721389983315,24.634444797993638,-3.7872308981604874
efficientnet-edgetpu-L_quant_edgetpu.tflite,24.432726899976842,27.761622998514213,-3.3288960985373706
mobilenet_v2_1.0_224_inat_plant_quant_edgetpu.tflite,4.0876093989936635,4.2000528002972715,-0.11244340130360797
keras_post_training_unet_mv2_128_quant_edgetpu.tflite,5.471063798177056,5.095071200048551,0.37599259812850505
ssd_mobilenet_v2_coco_quant_postprocess_edgetpu.tflite,12.855061399750412,13.18721810093848,-0.33215670118806884
tf2_mobilenet_v2_1.0_224_ptq_edgetpu.tflite,4.096933201071806,4.002941696671769,0.09399150440003723
inception_v2_224_quant_edgetpu.tflite,15.495409598224796,14.825141000619624,0.6702685976051725
tfhub_tf1_popular_us_products_ptq_fc_split_edgetpu.tflite,10.533871295046993,10.33670729957521,0.19716399547178298
